player_name,season,week,score
Marco Wölfli,100,0,3
Marco Wölfli,100,1,1
Marco Wölfli,100,2,2
Marco Wölfli,100,3,2
Marco Wölfli,100,4,4
Marco Wölfli,100,5,6
Marco Wölfli,100,6,2
Marco Wölfli,100,7,7
Marco Wölfli,100,8,4
Marco Wölfli,100,9,4
Marco Wölfli,100,10,7
Marco Wölfli,100,11,0
Marco Wölfli,100,12,2
Marco Wölfli,100,13,0
Marco Wölfli,100,14,3
Marco Wölfli,100,15,3
Marco Wölfli,100,16,4
Marco Wölfli,100,17,3
Marco Wölfli,200,1,0
Marco Wölfli,200,2,0
Marco Wölfli,200,3,0
Marco Wölfli,200,4,0
Marco Wölfli,200,5,0
Marco Wölfli,200,6,0
Marco Wölfli,200,7,0
Marco Wölfli,200,8,0
Marco Wölfli,200,9,0
Marco Wölfli,200,10,0
Marco Wölfli,200,11,0
Marco Wölfli,200,12,0
Marco Wölfli,200,13,0
Marco Wölfli,200,14,0
Marco Wölfli,200,15,0
Marco Wölfli,200,16,0
Marco Wölfli,200,17,0
Marco Wölfli,200,18,0
Marco Wölfli,400,0,5
Marco Wölfli,400,1,1
Marco Wölfli,400,2,6
Marco Wölfli,400,3,0
Marco Wölfli,400,4,5
Marco Wölfli,400,5,0
Marco Wölfli,400,6,4
Marco Wölfli,400,7,3
Marco Wölfli,400,8,1
Marco Wölfli,400,9,4
Marco Wölfli,400,10,4
Marco Wölfli,400,11,6
Marco Wölfli,400,12,3
Marco Wölfli,400,13,7
Marco Wölfli,400,14,4
Marco Wölfli,400,15,7
Marco Wölfli,400,16,3
Marco Wölfli,400,17,4
Marco Wölfli,500,0,2
Marco Wölfli,500,1,3
Marco Wölfli,500,2,-1
Marco Wölfli,500,3,7
Marco Wölfli,500,4,0
Marco Wölfli,500,5,7
Marco Wölfli,500,6,0
Marco Wölfli,500,7,5
Marco Wölfli,500,8,6
Marco Wölfli,500,9,1
Marco Wölfli,500,10,1
Marco Wölfli,500,11,6
Marco Wölfli,500,12,6
Marco Wölfli,500,13,0
Marco Wölfli,500,14,7
Marco Wölfli,500,15,-1
Marco Wölfli,500,16,1
Marco Wölfli,500,17,3
Marco Wölfli,600,0,0
Marco Wölfli,600,1,0
Marco Wölfli,600,2,2
Marco Wölfli,600,3,3
Marco Wölfli,600,4,7
Marco Wölfli,600,5,7
Marco Wölfli,600,6,4
Marco Wölfli,600,7,2
Marco Wölfli,600,8,2
Marco Wölfli,600,9,6
Marco Wölfli,600,10,3
Marco Wölfli,600,11,1
Marco Wölfli,600,12,1
Marco Wölfli,600,13,7
Marco Wölfli,600,14,5
Marco Wölfli,600,15,3
Marco Wölfli,600,16,5
Marco Wölfli,600,17,7
Marco Wölfli,700,0,0
Marco Wölfli,700,1,0
Marco Wölfli,700,2,0
Marco Wölfli,700,3,0
Marco Wölfli,700,4,0
Marco Wölfli,700,5,0
Marco Wölfli,700,6,0
Marco Wölfli,700,7,0
Marco Wölfli,700,8,0
Marco Wölfli,700,9,0
Marco Wölfli,700,10,0
Marco Wölfli,700,11,0
Marco Wölfli,700,12,0
Marco Wölfli,700,13,0
Marco Wölfli,700,14,0
Marco Wölfli,700,15,0
Marco Wölfli,700,16,0
Marco Wölfli,700,17,0
Marco Wölfli,900,0,0
Marco Wölfli,900,1,0
Marco Wölfli,900,2,0
Marco Wölfli,900,3,0
Marco Wölfli,900,4,0
Marco Wölfli,900,5,0
Marco Wölfli,900,6,0
Marco Wölfli,900,7,0
Marco Wölfli,900,8,0
Marco Wölfli,900,9,0
Marco Wölfli,900,10,0
Marco Wölfli,900,11,0
Marco Wölfli,900,12,0
Marco Wölfli,900,13,0
Marco Wölfli,900,14,0
Marco Wölfli,900,15,0
Marco Wölfli,900,16,0
Marco Wölfli,900,17,0
Marco Wölfli,1000,0,0
Marco Wölfli,1000,1,0
Marco Wölfli,1000,2,3
Marco Wölfli,1000,3,0
Marco Wölfli,1000,4,0
Marco Wölfli,1000,5,0
Marco Wölfli,1000,6,0
Marco Wölfli,1000,7,0
Marco Wölfli,1000,8,0
Marco Wölfli,1000,9,0
Marco Wölfli,1000,10,0
Marco Wölfli,1000,11,0
Marco Wölfli,1000,12,0
Marco Wölfli,1000,13,0
Marco Wölfli,1000,14,0
Marco Wölfli,1000,15,0
Marco Wölfli,1000,16,0
Marco Wölfli,1000,17,0
Marco Wölfli,1100,0,0
Marco Wölfli,1100,1,0
Marco Wölfli,1100,2,0
Marco Wölfli,1100,3,0
Marco Wölfli,1100,4,4
Marco Wölfli,1100,5,0
Marco Wölfli,1100,6,0
Marco Wölfli,1100,7,0
Marco Wölfli,1100,8,0
Marco Wölfli,1100,9,0
Marco Wölfli,1100,10,0
Marco Wölfli,1100,11,0
Marco Wölfli,1100,12,0
Marco Wölfli,1100,13,0
Marco Wölfli,1100,14,0
Marco Wölfli,1100,15,0
Marco Wölfli,1100,16,0
Marco Wölfli,1100,17,0
Marco Wölfli,1200,0,7
Marco Wölfli,1200,1,0
Marco Wölfli,1200,2,0
Marco Wölfli,1200,3,0
Marco Wölfli,1200,4,0
Marco Wölfli,1200,5,0
Marco Wölfli,1200,6,0
Marco Wölfli,1200,7,0
Marco Wölfli,1200,8,0
Marco Wölfli,1200,9,0
Marco Wölfli,1200,10,0
Marco Wölfli,1200,11,0
Marco Wölfli,1200,12,0
Marco Wölfli,1200,13,0
Marco Wölfli,1200,14,0
Marco Wölfli,1200,15,0
Marco Wölfli,1200,16,0
Marco Wölfli,1200,17,0
Marco Wölfli,1400,0,0
Marco Wölfli,1400,1,0
Marco Wölfli,1400,2,0
Marco Wölfli,1400,3,0
Marco Wölfli,1400,4,0
Marco Wölfli,1400,5,0
Marco Wölfli,1400,6,0
Marco Wölfli,1400,7,0
Marco Wölfli,1400,8,0
Marco Wölfli,1400,9,0
Marco Wölfli,1400,10,0
Marco Wölfli,1400,11,0
Marco Wölfli,1400,12,0
Marco Wölfli,1400,13,0
Marco Wölfli,1400,14,0
Marco Wölfli,1400,15,0
Marco Wölfli,1400,16,0
Marco Wölfli,1400,17,0
Marco Wölfli,1500,0,0
Marco Wölfli,1500,1,5
Marco Wölfli,1500,2,0
Marco Wölfli,1500,3,0
Marco Wölfli,1500,4,0
Marco Wölfli,1500,5,0
Marco Wölfli,1500,6,0
Marco Wölfli,1500,7,0
Marco Wölfli,1500,8,0
Marco Wölfli,1500,9,0
Marco Wölfli,1500,10,0
Marco Wölfli,1500,11,0
Marco Wölfli,1500,12,0
Marco Wölfli,1500,13,0
Marco Wölfli,1500,14,0
Marco Wölfli,1500,15,0
Marco Wölfli,1500,16,0
Marco Wölfli,1500,17,0
Marco Wölfli,1600,0,0
Marco Wölfli,1600,1,0
Marco Wölfli,1600,2,0
Marco Wölfli,1600,3,0
Marco Wölfli,1600,4,0
Marco Wölfli,1600,5,0
Marco Wölfli,1600,6,0
Marco Wölfli,1600,7,0
Marco Wölfli,1600,8,0
Marco Wölfli,1600,9,0
Marco Wölfli,1600,10,0
Marco Wölfli,1600,11,0
Marco Wölfli,1600,12,3
Marco Wölfli,1600,13,0
Marco Wölfli,1600,14,0
Marco Wölfli,1600,15,6
Marco Wölfli,1600,16,6
Marco Wölfli,1600,17,0
Marco Wölfli,1700,0,0
Marco Wölfli,1700,1,5
Marco Wölfli,1700,2,1
Marco Wölfli,1700,3,6
Marco Wölfli,1700,4,5
Marco Wölfli,1700,5,5
Marco Wölfli,1700,6,3
Marco Wölfli,1700,7,5
Marco Wölfli,1700,8,4
Marco Wölfli,1700,9,3
Marco Wölfli,1700,10,4
Marco Wölfli,1700,11,5
Marco Wölfli,1700,12,4
Marco Wölfli,1700,13,6
Marco Wölfli,1700,14,5
Marco Wölfli,1700,15,5
Marco Wölfli,1700,16,6
Marco Wölfli,1700,17,0
Marco Wölfli,1900,0,0
Marco Wölfli,1900,1,0
Marco Wölfli,1900,2,0
Marco Wölfli,1900,3,0
Marco Wölfli,1900,4,0
Marco Wölfli,1900,5,0
Marco Wölfli,1900,6,4
Marco Wölfli,1900,7,1
Marco Wölfli,1900,8,0
Marco Wölfli,1900,9,0
Marco Wölfli,1900,10,0
Marco Wölfli,1900,11,0
Marco Wölfli,1900,12,0
Marco Wölfli,1900,13,0
Marco Wölfli,1900,14,0
Marco Wölfli,1900,15,0
Marco Wölfli,1900,16,0
Marco Wölfli,1900,17,0
Marco Wölfli,2000,1,0
Marco Wölfli,2000,2,0
Marco Wölfli,2000,3,0
Marco Wölfli,2000,4,0
Marco Wölfli,2000,5,0
Marco Wölfli,2000,6,0
Marco Wölfli,2000,7,0
Marco Wölfli,2000,8,0
Marco Wölfli,2000,9,0
Marco Wölfli,2000,10,0
Marco Wölfli,2000,11,0
Marco Wölfli,2000,12,0
Marco Wölfli,2000,13,0
Marco Wölfli,2000,14,0
Marco Wölfli,2000,15,0
Marco Wölfli,2000,16,0
Marco Wölfli,2000,17,0
Marco Wölfli,2000,18,0
Marco Wölfli,2100,0,3
Marco Wölfli,2100,1,0
Marco Wölfli,2100,2,0
Marco Wölfli,2100,3,0
Marco Wölfli,2100,4,0
Marco Wölfli,2100,5,0
Marco Wölfli,2100,6,0
Marco Wölfli,2100,7,0
Marco Wölfli,2100,8,0
Marco Wölfli,2100,9,0
Marco Wölfli,2100,10,0
Marco Wölfli,2100,11,0
Marco Wölfli,2100,12,0
Marco Wölfli,2100,13,0
David Von Ballmoos,100,0,0
David Von Ballmoos,100,1,0
David Von Ballmoos,100,2,0
David Von Ballmoos,100,3,0
David Von Ballmoos,100,4,0
David Von Ballmoos,100,5,0
David Von Ballmoos,100,6,0
David Von Ballmoos,100,7,0
David Von Ballmoos,100,8,0
David Von Ballmoos,100,9,0
David Von Ballmoos,100,10,0
David Von Ballmoos,100,11,0
David Von Ballmoos,100,12,0
David Von Ballmoos,100,13,0
David Von Ballmoos,100,14,0
David Von Ballmoos,100,15,0
David Von Ballmoos,100,16,0
David Von Ballmoos,100,17,0
David Von Ballmoos,200,0,0
David Von Ballmoos,200,1,0
David Von Ballmoos,200,2,0
David Von Ballmoos,200,3,0
David Von Ballmoos,200,4,0
David Von Ballmoos,200,5,0
David Von Ballmoos,200,6,0
David Von Ballmoos,200,7,0
David Von Ballmoos,200,8,0
David Von Ballmoos,200,9,0
David Von Ballmoos,200,10,0
David Von Ballmoos,200,11,0
David Von Ballmoos,200,12,0
David Von Ballmoos,200,13,0
David Von Ballmoos,200,14,0
David Von Ballmoos,200,15,0
David Von Ballmoos,200,16,0
David Von Ballmoos,200,17,0
David Von Ballmoos,400,0,0
David Von Ballmoos,400,1,0
David Von Ballmoos,400,2,0
David Von Ballmoos,400,3,0
David Von Ballmoos,400,4,0
David Von Ballmoos,400,5,0
David Von Ballmoos,400,6,0
David Von Ballmoos,400,7,0
David Von Ballmoos,400,8,0
David Von Ballmoos,400,9,0
